Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,09-04-2021,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Royal Challengers Bangalore,,
2,1,10-04-2021,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,,
3,1,11-04-2021,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders,,
4,1,12-04-2021,"Wankhede Stadium, Mumbai",Rajasthan Royals,Punjab Kings,,
5,1,13-04-2021,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Mumbai Indians,,
6,1,14-04-2021,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Royal Challengers Bangalore,,
7,1,15-04-2021,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals,,
8,2,16-04-2021,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,,
9,2,17-04-2021,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Sunrisers Hyderabad,,
10,2,18-04-2021,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,,
11,2,18-04-2021,"Wankhede Stadium, Mumbai",Delhi Capitals,Punjab Kings,,
12,2,19-04-2021,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,,
13,2,20-04-2021,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,Mumbai Indians,,
14,2,21-04-2021,"M. A. Chidambaram Stadium, Chennai",Punjab Kings,Sunrisers Hyderabad,,
15,2,21-04-2021,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Chennai Super Kings,,
16,2,22-04-2021,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Rajasthan Royals,,
17,3,23-04-2021,"M. A. Chidambaram Stadium, Chennai",Punjab Kings,Mumbai Indians,,
18,3,24-04-2021,"Wankhede Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders,,
19,3,25-04-2021,"Wankhede Stadium, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,,
20,3,25-04-2021,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Delhi Capitals,,
21,3,26-04-2021,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Kolkata Knight Riders,,
